x,y
0.0000,1.1444
0.0503,1.9062
0.1005,1.6770
0.1508,1.7179
0.2010,2.4822
0.2513,1.9932
0.3015,2.5964
0.3518,2.3629
0.4020,3.1189
0.4523,2.8066
0.5025,3.4741
0.5528,3.8944
0.6030,4.1019
0.6533,4.0040
0.7035,4.0977
0.7538,4.3289
0.8040,4.3314
0.8543,4.3221
0.9045,4.2717
0.9548,5.2168
1.0050,4.5625
1.0553,5.0735
1.1055,4.6357
1.1558,5.3910
1.2060,5.6921
1.2563,5.6961
1.3065,5.4458
1.3568,6.0538
1.4070,6.3197
1.4573,5.5635
1.5075,5.8006
1.5578,5.9110
1.6080,5.6975
1.6583,6.6356
1.7085,6.6127
1.7588,6.6718
1.8090,6.6299
1.8593,6.1401
1.9095,6.6731
1.9598,6.6379
2.0101,5.9357
2.0603,6.6943
2.1106,6.3909
2.1608,6.7191
2.2111,6.3751
2.2613,6.4891
2.3116,6.5462
2.3618,6.4885
2.4121,6.1148
2.4623,6.7184
2.5126,6.3861
2.5628,6.2825
2.6131,6.7487
2.6633,5.9803
2.7136,5.8765
2.7638,6.1403
2.8141,5.7359
2.8643,5.6938
2.9146,5.9166
2.9648,5.2999
3.0151,5.8344
3.0653,5.8158
3.1156,5.2892
3.1658,5.1568
3.2161,5.4223
3.2663,4.9862
3.3166,4.6581
3.3668,5.1398
3.4171,5.4459
3.4673,4.4312
3.5176,4.3618
3.5678,4.7960
3.6181,4.0557
3.6683,4.1971
3.7186,3.8970
3.7688,3.9885
3.8191,3.3812
3.8693,3.7018
3.9196,3.2884
3.9698,3.6684
4.0201,3.1493
4.0704,3.0549
4.1206,3.0709
4.1709,2.8632
4.2211,2.5499
4.2714,2.6057
4.3216,1.8515
4.3719,2.4369
4.4221,2.5188
4.4724,1.6001
4.5226,1.6214
4.5729,1.5280
4.6231,1.5878
4.6734,1.6124
4.7236,1.8327
4.7739,1.8044
4.8241,1.5010
4.8744,1.2995
4.9246,0.9906
4.9749,0.9696
5.0251,1.0133
5.0754,0.6750
5.1256,0.2412
5.1759,0.5504
5.2261,0.3419
5.2764,0.4312
5.3266,0.6939
5.3769,0.2726
5.4271,0.4606
5.4774,0.6457
5.5276,0.6690
5.5779,0.5080
5.6281,0.3393
5.6784,0.3455
5.7286,0.0543
5.7789,0.4086
5.8291,0.9645
5.8794,0.7516
5.9296,0.5729
5.9799,0.8660
6.0302,0.6947
6.0804,0.8880
6.1307,0.3433
6.1809,0.9260
6.2312,0.8316
6.2814,0.7472
6.3317,0.8078
6.3819,1.6843
6.4322,1.1557
6.4824,1.3168
6.5327,1.9810
6.5829,1.0385
6.6332,1.0295
6.6834,1.6356
6.7337,1.5225
6.7839,2.3632
6.8342,2.1948
6.8844,1.8927
6.9347,2.5631
6.9849,2.2709
7.0352,2.0363
7.0854,2.5772
7.1357,2.9194
7.1859,2.9602
7.2362,3.5784
7.2864,3.3245
7.3367,3.1733
7.3869,4.1005
7.4372,4.0273
7.4874,4.2460
7.5377,4.7712
7.5879,4.1181
7.6382,4.7889
7.6884,4.7825
7.7387,5.6496
7.7889,5.3386
7.8392,5.6565
7.8894,5.2829
7.9397,5.3403
7.9899,5.8762
8.0402,5.7745
8.0905,6.3467
8.1407,6.5040
8.1910,6.8690
8.2412,6.7010
8.2915,7.3229
8.3417,6.9812
8.3920,7.4566
8.4422,7.8563
8.4925,7.7392
8.5427,7.4538
8.5930,8.4499
8.6432,8.2113
8.6935,8.6609
8.7437,8.3574
8.7940,8.7751
8.8442,8.9577
8.8945,9.1990
8.9447,9.4668
8.9950,9.4345
9.0452,9.4936
9.0955,9.3466
9.1457,9.1183
9.1960,9.9502
9.2462,9.5235
9.2965,10.0837
9.3467,10.3540
9.3970,10.4420
9.4472,10.3616
9.4975,10.0404
9.5477,9.4701
9.5980,10.4708
9.6482,10.0850
9.6985,10.0917
9.7487,10.4714
9.7990,11.0917
9.8492,10.5250
9.8995,10.1885
9.9497,10.1048
10.0000,9.8679
